"SIGLA_UF","n_cattle","n_cattle_sd","pasture_201819_tot","pasture_201819_perc","defo_abs_13_17","defo_perc_wo_refo_13_17","defo_buffer_abs_13_17","defo_buffer_perc_13_17","mod_deg_sum_201819","mod_deg_perc_201819","sev_deg_sum_201819","sev_deg_perc_201819","crop_201819_tot","crop_201819_perc","agricultural_credits","mean_mun_msg4_1317","area","buffer_forest_tot_2013","precipitation_2018_19","mean_temp_18_19","population","nearest_fedSh","IBGE_CODE","outline_id","imagedate","stocking_rate"
"AC",89,0.157112306041087,83.6586,99.62,11.615,11.029,911.8477,2.227,26.4735,31.52,0,0,0,0,4123.69234,0,83.79,77.146435,0.402445620612094,33.3413600023281,15.256,75.7799137386712,"1200013","AC_1200013_4",2019-07-10 19:00:00,1.38300186711229
"AC",8,0.0699854212223765,11.1153,100,0,0,716.4903,1.975,9.0329,81.27,0,0,0,0,4123.69234,0,11.09,57.594504,0.402445620612094,33.3413600023281,15.256,76.1478357769339,"1200013","AC_1200013_2",2020-05-16 19:00:00,0.93564726098261
"AC",14,0.111237243569579,14.5164,100,0,0,565.9858,1.541,3.163,21.79,0,0,0,0,4123.69234,0,14.484,59.499975,0.402445620612094,33.3413600023281,15.256,74.5997360308765,"1200013","AC_1200013_2",2020-05-16 19:00:00,1.25375437436279
"AC",11,0.112659863237109,23.0565,91.76,15.8971,60.534,2078.402,5.198,2.4375,9.7,0,0,0,0,4123.69234,0,25.07,199.57829,0.402445620612094,33.3413600023281,15.256,107.594559646774,"1200013","AC_1200013_3",2020-07-20 19:00:00,0.620215557434997
"AC",25,0.0429016689859371,79.717,98.78,0,0,902.5447,2.201,20.3917,25.28,0,0,0,0,4123.69234,0,80.479,77.662832,0.402445620612094,33.3413600023281,15.256,76.2824099386466,"1200013","AC_1200013_4",2019-07-10 19:00:00,0.40769221119711
"AC",15,0.0908651281981146,28.7987,87.33,1.747,3.097,1815.9824,4.974,2.2458,6.81,0,0,0,0,4123.69234,0,32.901,68.523717,0.402445620612094,33.3413600023281,15.256,85.1282474716435,"1200013","AC_1200013_6",2019-07-11 19:00:00,0.677113897502318
"AC",5,0.117104113891562,20.5032,93.72,0.554,2.532,652.2301,1.736,0.2522,1.15,0,0,0,0,4123.69234,0,21.829,61.505046,0.402445620612094,33.3413600023281,15.256,74.5466534188923,"1200013","AC_1200013_2",2020-05-16 19:00:00,0.317023684107847
"AC",17,0.1113552872566,28.5524,94.01,0.2173,0.409,603.8191,1.581,7.861,25.88,0,0,0,0,4123.69234,0,30.303,64.982435,0.402445620612094,33.3413600023281,15.256,79.516943389676,"1200013","AC_1200013_5",2019-07-10 19:00:00,0.774015494319217
"AC",38,0.0908261398991505,50.6965,69.61,0.2279,-4.046,999.3264,2.442,0.1271,0.17,0,0,0,0,4123.69234,0,72.671,77.260311,0.402445620612094,33.3413600023281,15.256,78.1570751619181,"1200013","AC_1200013_4",2019-07-10 19:00:00,0.974426242442772
"AC",44,0.126332495807108,29.8951,81.07,1.1941,3.238,804.7628,2.182,4.9501,13.42,0,0,0,0,4123.69234,0,36.791,59.573846,0.402445620612094,33.3413600023281,15.256,80.7239605147386,"1200013","AC_1200013_6",2019-07-11 19:00:00,1.91335703844443
